City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Congressional District
Alachua County,Florida,29.813456,-82.472049,1,place,,,Alachua,FL,Alachua County,32615,US,TIGER/Line® dataset from the US Census Bureau,FL3
Fort Lauderdale,Florida,26.121323,-80.127909,1,place,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau,FL22
Hollywood,Florida,26.027459,-80.120219,1,place,,,Hollywood,FL,Broward County,33019,US,TIGER/Line® dataset from the US Census Bureau,FL23
Lake Worth,Florida,26.645895,-80.430269,1,place,,,Lake Worth,FL,Palm Beach County,33454,US,TIGER/Line® dataset from the US Census Bureau,FL20
Miami Beach,Florida,25.558428,-80.458168,1,place,,,Miami Beach,FL,Miami-Dade County,33239,US,TIGER/Line® dataset from the US Census Bureau,FL26
Ocala,Florida,29.198907,-82.087425,1,place,,,Ocala,FL,Marion County,34470,US,TIGER/Line® dataset from the US Census Bureau,FL3
Polk County,Florida,0,0,0,,,,,,,,,,
St. Petersburg,Florida,27.775654,-82.64092,1,place,,,Saint Petersburg,FL,Pinellas County,33701,US,TIGER/Line® dataset from the US Census Bureau,FL13
Barre,Vermont,44.19701,-72.50205,1,place,,,Barre,VT,Washington County,5641,US,TIGER/Line® dataset from the US Census Bureau,VT0
Bennington,Vermont,42.8746,-73.18505,1,place,,,Bennington,VT,Bennington County,5201,US,TIGER/Line® dataset from the US Census Bureau,VT0
Brattleboro,Vermont,42.884281,-72.760753,1,place,,,Brattleboro,VT,Windham County,5301,US,TIGER/Line® dataset from the US Census Bureau,VT0
Montpelier,Vermont,44.19906,-72.559638,1,place,,,Montpelier,VT,Washington County,5601,US,TIGER/Line® dataset from the US Census Bureau,VT0
Rutland Town,Vermont,43.630346,-72.93586,1,place,,,Rutland,VT,Rutland County,5701,US,TIGER/Line® dataset from the US Census Bureau,VT0
Winooski,Vermont,44.498032,-73.182158,1,place,,,Winooski,VT,Chittenden County,5404,US,TIGER/Line® dataset from the US Census Bureau,VT0
Council Bluffs,Iowa,41.23238,-95.875086,1,place,,,Council Bluffs,IA,Pottawattamie County,51501,US,TIGER/Line® dataset from the US Census Bureau,IA3
Des Moines,Iowa,41.672687,-93.572173,1,place,,,Des Moines,IA,Polk County,50301,US,TIGER/Line® dataset from the US Census Bureau,IA3
Grimes,Iowa,41.68749,-93.79245,1,place,,,Grimes,IA,Polk County,50111,US,TIGER/Line® dataset from the US Census Bureau,IA3
Adams,Oregon,45.724767,-118.490788,1,place,,,Adams,OR,Umatilla County,97810,US,TIGER/Line® dataset from the US Census Bureau,OR2
Albany,Oregon,44.65345,-123.139526,1,place,,,Albany,OR,Linn County,97321,US,TIGER/Line® dataset from the US Census Bureau,OR4
Ashland,Oregon,42.148098,-122.537356,1,place,,,Ashland,OR,Jackson County,97520,US,TIGER/Line® dataset from the US Census Bureau,OR2
Bandon,Oregon,43.088824,-124.389936,1,place,,,Bandon,OR,Coos County,97411,US,TIGER/Line® dataset from the US Census Bureau,OR4
Banks,Oregon,45.61872,-123.11428,1,place,,,Banks,OR,Washington County,97106,US,TIGER/Line® dataset from the US Census Bureau,OR1
Bay City,Oregon,45.5226,-123.8893,1,place,,,Bay City,OR,Tillamook County,97107,US,TIGER/Line® dataset from the US Census Bureau,OR5
Brookings,Oregon,42.05,-124.28333,1,place,,,Brookings,OR,Curry County,97415,US,TIGER/Line® dataset from the US Census Bureau,OR4
Carlton,Oregon,45.282393,-123.218624,1,place,,,Carlton,OR,Yamhill County,97111,US,TIGER/Line® dataset from the US Census Bureau,OR1
Cave Junction,Oregon,42.16289,-123.64812,1,place,,,Cave Junction,OR,Josephine County,97523,US,TIGER/Line® dataset from the US Census Bureau,OR4
Central Point,Oregon,42.416384,-122.917383,1,place,,,Central Point,OR,Jackson County,97502,US,TIGER/Line® dataset from the US Census Bureau,OR2
Chiloquin,Oregon,42.57764,-121.86613,1,place,,,Chiloquin,OR,Klamath County,97624,US,TIGER/Line® dataset from the US Census Bureau,OR2
Columbia City,Oregon,45.892304,-122.814191,1,place,,,Columbia City,OR,Columbia County,97018,US,TIGER/Line® dataset from the US Census Bureau,OR1
Coos Bay,Oregon,43.215143,-124.198358,1,place,,,Coos Bay,OR,Coos County,97420,US,TIGER/Line® dataset from the US Census Bureau,OR4
Corvallis,Oregon,44.639931,-123.275969,1,place,,,Corvallis,OR,Benton County,97330,US,TIGER/Line® dataset from the US Census Bureau,OR4
Cottage Grove,Oregon,43.72893,-123.049498,1,place,,,Cottage Grove,OR,Lane County,97424,US,TIGER/Line® dataset from the US Census Bureau,OR4
Culver,Oregon,44.499106,-121.267976,1,place,,,Culver,OR,Jefferson County,97734,US,TIGER/Line® dataset from the US Census Bureau,OR2
Dallas,Oregon,44.928092,-123.337291,1,place,,,Dallas,OR,Polk County,97338,US,TIGER/Line® dataset from the US Census Bureau,OR5
Enterprise,Oregon,45.648199,-117.169858,1,place,,,Enterprise,OR,Wallowa County,97828,US,TIGER/Line® dataset from the US Census Bureau,OR2
Garibaldi,Oregon,45.562572,-123.900072,1,place,,,Garibaldi,OR,Tillamook County,97118,US,TIGER/Line® dataset from the US Census Bureau,OR5
Gold Beach,Oregon,42.40733,-124.42177,1,place,,,Gold Beach,OR,Curry County,97444,US,TIGER/Line® dataset from the US Census Bureau,OR4
Grants Pass,Oregon,42.535654,-123.338332,1,place,,,Grants Pass,OR,Josephine County,97526,US,TIGER/Line® dataset from the US Census Bureau,OR4
Happy Valley,Oregon,45.44679,-122.53037,1,place,,,Happy Valley,OR,,97086,US,TIGER/Line® dataset from the US Census Bureau,OR5
Harrisburg,Oregon,44.273684,-123.108438,1,place,,,Harrisburg,OR,Linn County,97446,US,TIGER/Line® dataset from the US Census Bureau,OR4
Hubbard,Oregon,45.1969,-122.812012,1,place,,,Hubbard,OR,Marion County,97032,US,TIGER/Line® dataset from the US Census Bureau,OR5
Jacksonville,Oregon,42.181333,-123.0241,1,place,,,Jacksonville,OR,Jackson County,97530,US,TIGER/Line® dataset from the US Census Bureau,OR2
Jefferson,Oregon,44.768025,-123.003516,1,place,,,Jefferson,OR,Marion County,97352,US,TIGER/Line® dataset from the US Census Bureau,OR5
Junction City,Oregon,44.192567,-123.273576,1,place,,,Junction City,OR,Lane County,97448,US,TIGER/Line® dataset from the US Census Bureau,OR4
Klamath Falls,Oregon,42.293293,-121.816873,1,place,,,Klamath Falls,OR,Klamath County,97601,US,TIGER/Line® dataset from the US Census Bureau,OR2
Lafayette,Oregon,45.24428,-123.11483,1,place,,,Lafayette,OR,Yamhill County,97127,US,TIGER/Line® dataset from the US Census Bureau,OR1
Lake Oswego,Oregon,45.408374,-122.691388,1,place,,,Lake Oswego,OR,Clackamas County,97034,US,TIGER/Line® dataset from the US Census Bureau,OR5
