,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,State.1,County,Zip,Country,Congressional District,status,statusText,color
99,St. Petersburg,Florida,27.775654,-82.64092,1.0,place,FL,Pinellas County,33701.0,US,FL13,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
100,Barre,Vermont,44.19701,-72.50205,1.0,place,VT,Washington County,5641.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
101,Bennington,Vermont,42.8746,-73.18505,1.0,place,VT,Bennington County,5201.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
102,Brattleboro,Vermont,42.884281,-72.76075300000001,1.0,place,VT,Windham County,5301.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
103,Montpelier,Vermont,44.199059999999996,-72.559638,1.0,place,VT,Washington County,5601.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
104,Rutland Town,Vermont,43.630346,-72.93585999999999,1.0,place,VT,Rutland County,5701.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
105,Winooski,Vermont,44.498032,-73.182158,1.0,place,VT,Chittenden County,5404.0,US,VT0,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
106,Council Bluffs,Iowa,41.23238,-95.875086,1.0,place,IA,Pottawattamie County,51501.0,US,IA3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
107,Des Moines,Iowa,41.672686999999996,-93.57217299999999,1.0,place,IA,Polk County,50301.0,US,IA3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
108,Grimes,Iowa,41.687490000000004,-93.79245,1.0,place,IA,Polk County,50111.0,US,IA3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
109,Adams,Oregon,45.724767,-118.490788,1.0,place,OR,Umatilla County,97810.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
110,Albany,Oregon,44.65345,-123.139526,1.0,place,OR,Linn County,97321.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
111,Ashland,Oregon,42.148098,-122.537356,1.0,place,OR,Jackson County,97520.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
112,Bandon,Oregon,43.088824,-124.389936,1.0,place,OR,Coos County,97411.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
113,Banks,Oregon,45.61872,-123.11428000000001,1.0,place,OR,Washington County,97106.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
114,Bay City,Oregon,45.5226,-123.8893,1.0,place,OR,Tillamook County,97107.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
115,Brookings,Oregon,42.05,-124.28333,1.0,place,OR,Curry County,97415.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
116,Carlton,Oregon,45.282393,-123.218624,1.0,place,OR,Yamhill County,97111.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
117,Cave Junction,Oregon,42.162890000000004,-123.64811999999999,1.0,place,OR,Josephine County,97523.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
118,Central Point,Oregon,42.416384,-122.917383,1.0,place,OR,Jackson County,97502.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
119,Chiloquin,Oregon,42.57764,-121.86613,1.0,place,OR,Klamath County,97624.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
120,Columbia City,Oregon,45.892303999999996,-122.814191,1.0,place,OR,Columbia County,97018.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
121,Coos Bay,Oregon,43.215143,-124.19835800000001,1.0,place,OR,Coos County,97420.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
122,Corvallis,Oregon,44.639931,-123.27596899999999,1.0,place,OR,Benton County,97330.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
123,Cottage Grove,Oregon,43.72893,-123.049498,1.0,place,OR,Lane County,97424.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
124,Culver,Oregon,44.499106,-121.267976,1.0,place,OR,Jefferson County,97734.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
125,Dallas,Oregon,44.928092,-123.337291,1.0,place,OR,Polk County,97338.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
126,Enterprise,Oregon,45.648199,-117.169858,1.0,place,OR,Wallowa County,97828.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
127,Garibaldi,Oregon,45.562571999999996,-123.900072,1.0,place,OR,Tillamook County,97118.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
128,Gold Beach,Oregon,42.40733,-124.42177,1.0,place,OR,Curry County,97444.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
129,Grants Pass,Oregon,42.535654,-123.33833200000001,1.0,place,OR,Josephine County,97526.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
130,Happy Valley,Oregon,45.44679,-122.53036999999999,1.0,place,OR,,97086.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
131,Harrisburg,Oregon,44.273684,-123.10843799999999,1.0,place,OR,Linn County,97446.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
132,Hubbard,Oregon,45.1969,-122.81201200000001,1.0,place,OR,Marion County,97032.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
133,Jacksonville,Oregon,42.181333,-123.0241,1.0,place,OR,Jackson County,97530.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
134,Jefferson,Oregon,44.768025,-123.00351599999999,1.0,place,OR,Marion County,97352.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
135,Junction City,Oregon,44.192567,-123.273576,1.0,place,OR,Lane County,97448.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
136,Klamath Falls,Oregon,42.293293,-121.816873,1.0,place,OR,Klamath County,97601.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
137,Lafayette,Oregon,45.244279999999996,-123.11483,1.0,place,OR,Yamhill County,97127.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
138,Lake Oswego,Oregon,45.408374,-122.69138799999999,1.0,place,OR,Clackamas County,97034.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
139,Lebanon,Oregon,44.526381,-122.82745700000001,1.0,place,OR,Linn County,97355.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
140,Lincoln City,Oregon,44.908891,-123.98885,1.0,place,OR,Lincoln County,97367.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
141,Malin,Oregon,42.01266,-121.4086,1.0,place,OR,Klamath County,97632.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
142,Manzanita,Oregon,45.71844,-123.93513999999999,1.0,place,OR,Tillamook County,97130.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
143,Medford,Oregon,42.265974,-122.90083200000001,1.0,place,OR,Jackson County,97501.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
144,Mill City,Oregon,44.75401,-122.47814,1.0,place,OR,Linn County,97360.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
145,Milton-Freewater,Oregon,45.932629999999996,-118.38774,1.0,place,OR,Umatilla County,97862.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
146,Newberg,Oregon,45.329475,-122.981045,1.0,place,OR,Yamhill County,97132.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
147,North Bend,Oregon,43.4065,-124.22428000000001,1.0,place,OR,Coos County,97459.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
148,Nyssa,Oregon,43.627553999999996,-117.207823,1.0,place,OR,Malheur County,97913.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
149,Pendleton,Oregon,45.67208,-118.7886,1.0,place,OR,Umatilla County,97801.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
150,Philomath,Oregon,44.555144,-123.439249,1.0,place,OR,Benton County,97370.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
151,Phoenix,Oregon,42.262556,-122.81464,1.0,place,OR,Jackson County,97535.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
152,Pilot Rock,Oregon,45.42115,-118.8603,1.0,place,OR,Umatilla County,97868.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
153,Prineville,Oregon,44.16805,-120.660334,1.0,place,OR,Crook County,97754.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
154,Rainier,Oregon,46.038342,-122.972651,1.0,place,OR,Columbia County,97048.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
155,Rogue River,Oregon,42.43595,-123.17200000000001,1.0,place,OR,Jackson County,97537.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
156,Roseburg,Oregon,43.2165,-123.34173999999999,1.0,place,OR,Douglas County,97470.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
157,Seaside,Oregon,45.993159999999996,-123.92263999999999,1.0,place,OR,Clatsop County,97138.0,US,OR1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
158,Sheridan,Oregon,45.145945000000005,-123.38590400000001,1.0,place,OR,Yamhill County,97378.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
159,Silverton,Oregon,44.954501,-122.748442,1.0,place,OR,Marion County,97381.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
160,Springfield,Oregon,44.058465000000005,-123.011597,1.0,place,OR,Lane County,97477.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
161,Stayton,Oregon,44.807707,-122.726619,1.0,place,OR,Marion County,97383.0,US,OR5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
162,Sutherlin,Oregon,43.39012,-123.31258000000001,1.0,place,OR,Douglas County,97479.0,US,OR4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
163,Umatilla (city),Oregon,45.91735,-119.34252,1.0,place,OR,Umatilla County,97882.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
164,Union (city),Oregon,45.162055,-117.848982,1.0,place,OR,Union County,97883.0,US,OR2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
